product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_content,img_link,product_link
B07JW9H4J1,Wayona Nylon Braided,Computers&Accessories,$399,"$1,099",64%,4.2,"24,269",High Compatibility :,AG3D6O4STA,"Manav,Adar",R3HXWT0LRP,"Looks durable Charging is fine tooNo complains,Cha",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncin
B098NS6PVG,Ambrane Unbreakable ,Computers&Accessories,$199,$349,43%,4,"43,994",Compatible with all ,AECPFYFQVR,"ArdKn,Nirb",RGIQEG07R9,I ordered this cable to connect my phone to Androi,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Ambrane-Unbreakable-Charging
B096MSW6CT,Sounce Fast Phone Ch,Computers&Accessories,$199,"$1,899",90%,3.9,"7,928",【 Fast Charger& Da,AGU3BBQ2V2,"Kunal,Hima",R3J3EQQ9TZ,"Not quite durable and sturdy,https://m.media-amazo",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Sounce-iPhone-Charging-Compa
B08HDJ86NZ,boAt Deuce USB 300 2,Computers&Accessories,$329,$699,53%,4.2,"94,363",The boAt Deuce USB 3,AEWAZDZZJL,Omkar dhal,R3EEUZKKK9,"Good product,long wire,Charges good,Nice,I bought ",https://m.media-amazon.com/images/I/41V5FtEWPkL._S,https://www.amazon.in/Deuce-300-Resistant-Tangle-F
B08CF3B7N1,Portronics Konnect L,Computers&Accessories,$154,$399,61%,4.2,"16,905",[CHARGE & SYNC FUNCT,AE3Q6KSUK5,rahuls6099,R1BP4L2HH9,"Bought this instead of original apple, does the wo",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Portronics-Konnect-POR-1080-
B08Y1TFSP6,pTron Solero TB301 3,Computers&Accessories,$149,"$1,000",85%,3.9,"24,871",Fast Charging & Data,AEQ2YMXSZW,"Jayesh,Raj",R7S8ANNSDP,"It's a good product.,Like,Very good item strong an",https://m.media-amazon.com/images/I/31wOPjcSxlL._S,https://www.amazon.in/Solero-TB301-Charging-480Mbp
B08WRWPM22,boAt Micro USB 55 Ta,Computers&Accessories,$176.63,$499,65%,4.1,"15,188",It Ensures High Spee,AG7C6DAADC,Vivek kuma,R8E73K2KWJ,Build quality is good and it is comes with 2 year ,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-T
B08DDRGWTJ,MI Usb Type-C Cable ,Computers&Accessories,$229,$299,23%,4.3,"30,411",1m long Type-C USB C,AHW6E5LQ2B,"Pavan A H,",R2X090D1YH,Worth for money - suitable for Android auto... my ,https://m.media-amazon.com/images/I/31XO-wfGGGL._S,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cabl
B008IFXQFU,TP-Link USB WiFi Ada,Computers&Accessories,$499,$999,50%,4.2,"1,79,691",USB WiFi Adapter —,AGV3IEFANZ,Azhar JuMa,R1LW6NWSVT,I use this to connect an old PC to internet. I tri,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wi
B082LZGK39,Ambrane Unbreakable ,Computers&Accessories,$199,$299,33%,4,"43,994",Universal Compatibil,AECPFYFQVR,"ArdKn,Nirb",RGIQEG07R9,I ordered this cable to connect my phone to Androi,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Ambrane-Unbreakable-Charging
